Holiday_Name,Year,Avg_Fuel_Price,Avg_CPI,Avg_Unemployment,Avg_Temperature_C,Avg_Weekly_Sales
Christmas,2010,3.036111111111112,168.49557444444446,8.475288888888889,3.9555555555555557,1348486
Independence Day,2010,2.7833333333333328,167.94845555555548,8.428577777777779,26.08888888888889,1064433
No Holiday,2010,2.8128621908127323,168.05667960625968,8.494913175164108,16.16203937405351,1036750
Thanksgiving Day,2010,2.919333333333332,168.54162,8.475288888888889,8.88888888888889,1462688
Christmas,2011,3.2720000000000007,173.99193555555547,7.804222222222222,3.2444444444444445,1023165
Independence Day,2011,3.6266666666666665,171.49522000000005,8.097488888888888,26.6,1063539
New Year's Day,2011,3.089777777777777,168.57566666666665,8.291200000000002,1.7777777777777777,950433
No Holiday,2011,3.578546968995834,171.49833831559442,8.088366034243382,15.253586302637668,1038840
Thanksgiving Day,2011,3.4348888888888887,173.40955777777782,7.804222222222221,9.844444444444445,1479857
Independence Day,2012,3.463333333333334,175.6481488888889,7.237333333333332,26.711111111111112,1138956
New Year's Day,2012,3.3002222222222213,174.1162244444444,7.5083333333333355,5.0,998752
No Holiday,2012,3.7254250135354687,175.51567162966958,7.346570113697835,17.463454250135353,1030826
