Store,Start_of_Week,Date,Fuel_Price,CPI,Unemployment,Type,Size,Week,Year,Temperature_C,Holiday_Name,Weekly_Sales
1,2010-01-30,2010-02-05,2.57,211.0964,8.106,A,151315,5,2010,6.0,No Holiday,1643690.9000000004
1,2010-02-06,2010-02-12,2.55,211.2422,8.106,A,151315,6,2010,4.0,No Holiday,1641957.4400000006
1,2010-02-13,2010-02-19,2.51,211.2891,8.106,A,151315,7,2010,4.0,No Holiday,1611968.1699999992
1,2010-02-20,2010-02-26,2.56,211.3196,8.106,A,151315,8,2010,8.0,No Holiday,1409727.59
1,2010-02-27,2010-03-05,2.62,211.3501,8.106,A,151315,9,2010,8.0,No Holiday,1554806.68
1,2010-03-06,2010-03-12,2.67,211.3806,8.106,A,151315,10,2010,14.0,No Holiday,1439541.59
1,2010-03-13,2010-03-19,2.72,211.2156,8.106,A,151315,11,2010,13.0,No Holiday,1472515.7900000005
1,2010-03-20,2010-03-26,2.73,211.018,8.106,A,151315,12,2010,11.0,No Holiday,1404429.9199999995
1,2010-03-27,2010-04-02,2.72,210.8204,7.808,A,151315,13,2010,17.0,No Holiday,1594968.2799999998
1,2010-04-03,2010-04-09,2.77,210.6229,7.808,A,151315,14,2010,19.0,No Holiday,1545418.5300000003
1,2010-04-10,2010-04-16,2.81,210.4887,7.808,A,151315,15,2010,19.0,No Holiday,1466058.2800000005
1,2010-04-17,2010-04-23,2.8,210.4391,7.808,A,151315,16,2010,18.0,No Holiday,1391256.1199999996
1,2010-04-24,2010-04-30,2.78,210.3895,7.808,A,151315,17,2010,20.0,No Holiday,1425100.71
1,2010-05-01,2010-05-07,2.84,210.34,7.808,A,151315,18,2010,23.0,No Holiday,1603955.12
1,2010-05-08,2010-05-14,2.85,210.3374,7.808,A,151315,19,2010,24.0,No Holiday,1494251.4999999998
1,2010-05-15,2010-05-21,2.83,210.6171,7.808,A,151315,20,2010,25.0,No Holiday,1399662.0700000003
1,2010-05-22,2010-05-28,2.76,210.8968,7.808,A,151315,21,2010,27.0,No Holiday,1432069.9500000004
1,2010-05-29,2010-06-04,2.7,211.1764,7.808,A,151315,22,2010,27.0,No Holiday,1615524.7099999997
1,2010-06-05,2010-06-11,2.67,211.4561,7.808,A,151315,23,2010,27.0,No Holiday,1542561.0900000003
1,2010-06-12,2010-06-18,2.64,211.4538,7.808,A,151315,24,2010,29.0,No Holiday,1503284.0600000003
1,2010-06-19,2010-06-25,2.65,211.3387,7.808,A,151315,25,2010,29.0,No Holiday,1422711.5999999996
1,2010-06-26,2010-07-02,2.67,211.2235,7.787000000000001,A,151315,26,2010,27.0,No Holiday,1492418.1400000001
1,2010-07-03,2010-07-09,2.64,211.1084,7.787000000000001,A,151315,27,2010,27.0,Independence Day,1546074.1800000002
1,2010-07-10,2010-07-16,2.62,211.1004,7.787000000000001,A,151315,28,2010,28.0,No Holiday,1448938.9199999995
1,2010-07-17,2010-07-23,2.61,211.2351,7.787000000000001,A,151315,29,2010,29.0,No Holiday,1385065.2000000002
1,2010-07-24,2010-07-30,2.64,211.3699,7.787000000000001,A,151315,30,2010,28.0,No Holiday,1371986.5999999996
1,2010-07-31,2010-08-06,2.63,211.5047,7.787000000000001,A,151315,31,2010,31.0,No Holiday,1605491.7799999998
1,2010-08-07,2010-08-13,2.69,211.6394,7.787000000000001,A,151315,32,2010,31.0,No Holiday,1508237.7600000005
1,2010-08-14,2010-08-20,2.66,211.6034,7.787000000000001,A,151315,33,2010,30.0,No Holiday,1513080.4900000005
1,2010-08-21,2010-08-27,2.62,211.5673,7.787000000000001,A,151315,34,2010,30.0,No Holiday,1449142.92
1,2010-08-28,2010-09-03,2.58,211.5312,7.787000000000001,A,151315,35,2010,27.0,No Holiday,1540163.5299999998
1,2010-09-04,2010-09-10,2.56,211.4952,7.787000000000001,A,151315,36,2010,26.0,No Holiday,1507460.69
1,2010-09-11,2010-09-17,2.58,211.5225,7.787000000000001,A,151315,37,2010,28.0,No Holiday,1430378.67
1,2010-09-18,2010-09-24,2.62,211.5972,7.787000000000001,A,151315,38,2010,27.0,No Holiday,1351791.0299999996
1,2010-09-25,2010-10-01,2.6,211.672,7.837999999999999,A,151315,39,2010,22.0,No Holiday,1453329.4999999993
1,2010-10-02,2010-10-08,2.63,211.7468,7.837999999999999,A,151315,40,2010,18.0,No Holiday,1508239.9300000002
1,2010-10-09,2010-10-15,2.72,211.8137,7.837999999999999,A,151315,41,2010,20.0,No Holiday,1459409.0999999987
1,2010-10-16,2010-10-22,2.72,211.8613,7.837999999999999,A,151315,42,2010,21.0,No Holiday,1345454.0000000002
1,2010-10-23,2010-10-29,2.72,211.9088,7.837999999999999,A,151315,43,2010,21.0,No Holiday,1384209.2200000002
1,2010-10-30,2010-11-05,2.69,211.9564,7.837999999999999,A,151315,44,2010,15.0,No Holiday,1551659.2800000007
1,2010-11-06,2010-11-12,2.73,212.0039,7.837999999999999,A,151315,45,2010,15.0,No Holiday,1494479.4899999995
1,2010-11-13,2010-11-19,2.77,211.8897,7.837999999999999,A,151315,46,2010,11.0,No Holiday,1483784.1799999997
1,2010-11-20,2010-11-26,2.74,211.7484,7.837999999999999,A,151315,47,2010,18.0,Thanksgiving Day,1955624.11
1,2010-11-27,2010-12-03,2.71,211.6072,7.837999999999999,A,151315,48,2010,10.0,No Holiday,1548033.78
1,2010-12-04,2010-12-10,2.84,211.46599999999998,7.837999999999999,A,151315,49,2010,8.0,No Holiday,1682614.2600000005
1,2010-12-11,2010-12-17,2.87,211.4053,7.837999999999999,A,151315,50,2010,10.0,No Holiday,1891034.93
1,2010-12-18,2010-12-24,2.89,211.4051,7.837999999999999,A,151315,51,2010,11.0,Christmas,2387950.1999999993
1,2010-12-25,2010-12-31,2.94,211.4049,7.837999999999999,A,151315,52,2010,9.0,Christmas,1367320.01
1,2011-01-01,2011-01-07,2.98,211.4047,7.742000000000001,A,151315,1,2011,9.0,New Year's Day,1444732.2799999998
1,2011-01-08,2011-01-14,2.98,211.4574,7.742000000000001,A,151315,2,2011,2.0,No Holiday,1391013.96
1,2011-01-15,2011-01-21,3.02,211.8272,7.742000000000001,A,151315,3,2011,7.0,No Holiday,1327405.4200000002
1,2011-01-22,2011-01-28,3.01,212.1971,7.742000000000001,A,151315,4,2011,7.0,No Holiday,1316899.31
1,2011-01-29,2011-02-04,2.99,212.5669,7.742000000000001,A,151315,5,2011,6.0,No Holiday,1606629.58
1,2011-02-05,2011-02-11,3.02,212.9367,7.742000000000001,A,151315,6,2011,2.0,No Holiday,1649614.9300000002
1,2011-02-12,2011-02-18,3.04,213.2479,7.742000000000001,A,151315,7,2011,14.0,No Holiday,1686842.7800000003
1,2011-02-19,2011-02-25,3.06,213.5356,7.742000000000001,A,151315,8,2011,17.0,No Holiday,1456800.28
1,2011-02-26,2011-03-04,3.29,213.8233,7.742000000000001,A,151315,9,2011,15.0,No Holiday,1636263.4100000008
1,2011-03-05,2011-03-11,3.46,214.1111,7.742000000000001,A,151315,10,2011,12.0,No Holiday,1553191.6300000004
1,2011-03-12,2011-03-18,3.49,214.3627,7.742000000000001,A,151315,11,2011,17.0,No Holiday,1576818.0599999998
1,2011-03-19,2011-03-25,3.47,214.5999,7.742000000000001,A,151315,12,2011,21.0,No Holiday,1541102.3800000001
1,2011-03-26,2011-04-01,3.52,214.8372,7.682,A,151315,13,2011,15.0,No Holiday,1495064.75
1,2011-04-02,2011-04-08,3.62,215.0744,7.682,A,151315,14,2011,20.0,No Holiday,1614259.35
1,2011-04-09,2011-04-15,3.74,215.2919,7.682,A,151315,15,2011,22.0,No Holiday,1559889.0000000002
1,2011-04-16,2011-04-22,3.81,215.4599,7.682,A,151315,16,2011,23.0,No Holiday,1564819.8099999998
1,2011-04-23,2011-04-29,3.81,215.628,7.682,A,151315,17,2011,22.0,No Holiday,1455090.6900000004
1,2011-04-30,2011-05-06,3.91,215.796,7.682,A,151315,18,2011,18.0,No Holiday,1629391.28
1,2011-05-07,2011-05-13,3.9,215.9641,7.682,A,151315,19,2011,24.0,No Holiday,1604775.5799999996
1,2011-05-14,2011-05-20,3.91,215.7339,7.682,A,151315,20,2011,20.0,No Holiday,1428218.27
1,2011-05-21,2011-05-27,3.79,215.5038,7.682,A,151315,21,2011,25.0,No Holiday,1466046.6699999992
