Start of Week,Date,Avg Fuel_Price,Avg CPI,Avg Unemployment,Week,Year,Avg Temperature C,Holiday Name,Total Weekly_Sales
2010-01-30,2010-02-05,2.7166666666666655,167.73090444444443,8.619311111111111,5,2010,1.2,No Holiday,49750740.5
2010-02-06,2010-02-12,2.694222222222221,167.82561555555546,8.619311111111115,6,2010,1.288888888888889,No Holiday,48336677.63000001
2010-02-13,2010-02-19,2.671111111111111,167.8716955555556,8.61931111111111,7,2010,3.1777777777777776,No Holiday,48276993.779999994
2010-02-20,2010-02-26,2.682666666666667,167.9096622222222,8.619311111111111,8,2010,3.9555555555555557,No Holiday,43968571.13000001
2010-02-27,2010-03-05,2.7306666666666684,167.94764222222227,8.619311111111115,9,2010,6.111111111111111,No Holiday,46871470.29999999
2010-03-06,2010-03-12,2.7737777777777777,167.98560888888886,8.619311111111111,10,2010,8.6,No Holiday,45925396.50999999
2010-03-13,2010-03-19,2.8151111111111105,167.93041333333343,8.619311111111111,11,2010,9.977777777777778,No Holiday,44988974.64000001
2010-03-20,2010-03-26,2.8226666666666658,167.8597355555555,8.619311111111111,12,2010,9.155555555555555,No Holiday,44133961.05
2010-03-27,2010-04-02,2.8284444444444437,167.78904888888894,8.49771111111111,13,2010,11.666666666666666,No Holiday,50423831.25999998
2010-04-03,2010-04-09,2.8528888888888884,167.71833777777778,8.497711111111112,14,2010,14.644444444444444,No Holiday,47365290.440000005
2010-04-10,2010-04-16,2.8891111111111116,167.66303333333337,8.49771111111111,15,2010,14.4,No Holiday,45183667.08
2010-04-17,2010-04-23,2.884,167.62827777777775,8.49771111111111,16,2010,13.88888888888889,No Holiday,44734452.559999995
2010-04-24,2010-04-30,2.8915555555555557,167.59350000000006,8.49771111111111,17,2010,14.466666666666667,No Holiday,43705126.70999999
2010-05-01,2010-05-07,2.9348888888888887,167.5587266666667,8.497711111111109,18,2010,17.933333333333334,No Holiday,48503243.519999996
2010-05-08,2010-05-14,2.944,167.5464688888889,8.49771111111111,19,2010,15.822222222222223,No Holiday,45330080.20000002
2010-05-15,2010-05-21,2.9262222222222216,167.66942666666668,8.49771111111111,20,2010,19.044444444444444,No Holiday,45120108.06
2010-05-22,2010-05-28,2.8686666666666674,167.7923733333334,8.49771111111111,21,2010,21.4,No Holiday,47757502.56000002
2010-05-29,2010-06-04,2.8080000000000007,167.91534000000001,8.497711111111109,22,2010,22.88888888888889,No Holiday,50188543.11999999
2010-06-05,2010-06-11,2.7893333333333343,168.0382822222222,8.49771111111111,23,2010,23.711111111111112,No Holiday,47826546.72
2010-06-12,2010-06-18,2.763333333333333,168.04937111111101,8.49771111111111,24,2010,23.2,No Holiday,47622046.230000004
2010-06-19,2010-06-25,2.7904444444444447,168.01573999999997,8.497711111111112,25,2010,26.022222222222222,No Holiday,46609036.289999984
2010-06-26,2010-07-02,2.7951111111111104,167.98211555555557,8.428577777777775,26,2010,25.11111111111111,No Holiday,48917484.5
2010-07-03,2010-07-09,2.7833333333333328,167.94845555555548,8.428577777777779,27,2010,26.08888888888889,Independence Day,47899529.36999999
2010-07-10,2010-07-16,2.761111111111112,167.95822666666666,8.428577777777777,28,2010,26.91111111111111,No Holiday,46243899.580000006
2010-07-17,2010-07-23,2.762888888888889,168.0258844444444,8.428577777777777,29,2010,27.288888888888888,No Holiday,44888849.11000001
2010-07-24,2010-07-30,2.766666666666667,168.09351999999996,8.428577777777777,30,2010,26.266666666666666,No Holiday,44630363.42000002
2010-07-31,2010-08-06,2.776666666666666,168.16116444444447,8.428577777777779,31,2010,26.68888888888889,No Holiday,48204999.12000001
