,ID,STORE_TYPE,TIMEZONE,OPEN_DATE,NAME,POSTAL_CODE,ADDRESS,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,PHONE_NUMBER
0,6601,3,K,01/04/1994 12:00,Sam's Club,99515,8801 Old Seward Hwy,Anchorage,AK,US,61.14076995,-149.86001586,(907) 522-2333
1,6602,3,K,01/06/1994 12:00,Sam's Club,99504,1074 N. Muldoon Road,Anchorage,AK,US,61.23107872,-149.74084407,(907) 276-2996
2,2074,1,K,03/29/1994 12:00,Walmart Supercenter,99654,1350 S Seward Meridian Pkwy,Wasilla,AK,US,61.568752,-149.36364699,(907) 376-9780
3,2070,1,K,03/29/1994 12:00,Walmart Supercenter,99503,3101 A St,Anchorage,AK,US,61.192337,-149.880356,(907) 563-5900
4,6603,3,K,01/08/1994 12:00,Sam's Club,99701,48 College Rd,Fairbanks,AK,US,64.85286712,-147.70733642,(907) 451-4800
5,2071,1,K,03/29/1994 12:00,Walmart Supercenter,99515,8900 Old Seward Hwy,Anchorage,AK,US,61.14026299,-149.86883499,(907) 344-5300
6,2188,1,K,04/26/2000 12:00,Walmart Supercenter,99577,18600 Eagle River Rd,Eagle River,AK,US,61.30948257,-149.5349121,(907) 694-9780
7,3814,1,K,09/12/2007 12:00,Walmart Supercenter,99801,6525 Glacier Hwy,Juneau,AK,US,58.35834899,-134.51486199,(907) 789-5000
8,4474,1,K,03/31/2010 12:00,Walmart Supercenter,99611,10096 Kenai Spur Hwy,Kenai,AK,US,60.56447599,-151.22390699,(907) 395-0971
9,2722,1,K,04/28/2004 12:00,Walmart Supercenter,99701,537 Johansen Expy,Fairbanks,AK,US,64.85687299,-147.68959,(907) 451-9900
10,4359,2,K,09/25/2013 12:00,Walmart,99504,7405 Debarr Road,Anchorage,AK,US,61.21075799,-149.74301099,(907) 339-9039
11,2711,2,K,03/31/1999 12:00,Walmart,99615,2911 Mill Bay Rd,Kodiak,AK,US,57.81175994,-152.36482238,(907) 481-1670
12,2710,2,K,03/21/2001 12:00,Walmart,99901,4230 Don King Rd,Ketchikan,AK,US,55.37592699,-131.720535,(907) 247-2156
13,763,1,CST,11/13/1984 12:00,Walmart Supercenter,35064,7201 Aaron Aronov Dr,Fairfield,AL,US,33.4660761,-86.91495001,(205) 923-4423
14,4318,1,CST,06/13/2007 12:00,Walmart Supercenter,36054,145 Kelley Blvd,Millbrook,AL,US,32.46743011,-86.35948944,(334) 285-0311
15,762,1,CST,11/13/1984 12:00,Walmart Supercenter,35206,9248 Parkway E,Birmingham,AL,US,33.58850888,-86.69880621,(205) 833-7676
16,4497,1,CST,10/15/2008 12:00,Walmart Supercenter,35023,1007 Red Farmer Dr,Hueytown,AL,US,33.460197,-86.968231,(205) 744-9997
17,740,1,CST,07/04/1981 12:00,Walmart Supercenter,36360,1537 S Us Highway 231,Ozark,AL,US,31.44377969,-85.6515672,(334) 774-0272
18,604,1,CST,11/15/1983 12:00,Walmart Supercenter,36303,4310 Montgomery Hwy,Dothan,AL,US,31.26749399,-85.440842,(334) 793-3099
19,766,1,CST,11/13/1984 12:00,Walmart Supercenter,35630,3100 Hough Rd,Florence,AL,US,34.83431999,-87.625877,(256) 767-7581
20,809,1,CST,08/30/1985 12:00,Walmart Supercenter,36203,92 Plaza Ln,Oxford,AL,US,33.60084839,-85.83332441,(256) 835-4701
21,764,1,CST,11/13/1984 12:00,Walmart Supercenter,35022,750 Academy Dr,Bessemer,AL,US,33.36134299,-87.001366,(205) 424-5890
22,434,1,CST,08/11/1981 12:00,Walmart Supercenter,35803,11610 Memorial Pkwy Sw,Huntsville,AL,US,34.61660027,-86.56736992,(256) 881-0581
23,3271,1,CST,06/20/2001 12:00,Walmart Supercenter,35040,5100 Highway 31,Calera,AL,US,33.14779713,-86.74926258,(205) 668-0831
24,432,1,CST,08/18/1981 12:00,Walmart Supercenter,35160,214 Haynes St,Talladega,AL,US,33.43854499,-86.080734,(256) 761-1681
25,433,1,CST,08/11/1981 12:00,Walmart Supercenter,35810,2200 Sparkman Dr Nw,Huntsville,AL,US,34.76297847,-86.59320294,(256) 852-2236
26,5126,1,CST,08/20/2003 12:00,Walmart Supercenter,35960,1950 W Main St,Centre,AL,US,34.16107065,-85.71405194,(256) 927-9900
27,375,2,CST,08/01/1981 12:00,Walmart,35801,2900 S. Mem Pkwy(Dra Tba 375,Huntsville,AL,US,34.71124649,-86.54920959,(256) 536-2870
28,1462,1,CST,04/30/1990 12:00,Walmart Supercenter,36037,501 Willow Ln,Greenville,AL,US,31.84933573,-86.6437532,(334) 382-2655
29,4504,4,CST,04/25/2007 12:00,Neighborhood Market,35209,312 Palisades Blvd,Birmingham,AL,US,33.4683305,-86.81953579,(205) 870-8101
30,4407,1,CST,04/18/2007 12:00,Walmart Supercenter,36117,10710 Chantilly Pkwy,Montgomery,AL,US,32.35524,-86.13453699,(334) 272-7377
31,2306,1,CST,05/31/1995 12:00,Walmart Supercenter,35476,5710 Mcfarland Blvd,Northport,AL,US,33.236359,-87.614479,(205) 333-7820
32,1057,2,CST,02/03/1987 12:00,Walmart,36078,2190 Gilmer Avenue,Tallassee,AL,US,32.56509594,-85.93227311,(334) 283-6841
