CITY,STATE,POPULATION,MARKETSHARE
Rome,Ga.,97137,56
Paragould,Ark.,44702,56
Gulfport-Biloxi-Pascagoula,Miss.,396677,56
Bainbridge,Ga.,27330,56
Danville,Ky.,54117,56
Scottsbluff,Neb.,38304,56
Clovis,N.M.,51513,55
Hutchinson,Minn.,35778,55
Talladega-Sylacauga,Ala.,91351,55
Jacksonville,N.C.,192666,55
Warrensberg,Mo.,55167,55
Fort Leonard Wood,Mo.,54039,55
Maryville,Mo.,23237,55
Longview,Texas,219965,55
Fairfield,Iowa,17222,55
Dodge City,Kan.,34252,55
Crescent City,Calif.,27555,55
Junction City,Kan.,37328,55
Starksville,Miss.,50598,55
Parkersburg-Vienna,W.Va.,93125,55
Thomaston,Ga.,26436,55
Searcy,Ark.,79919,55
Dayton,Tenn.,32403,54
Brookings,S.D.,34318,54
Summerville,Ga.,24956,54
Albertville,Ala.,95247,54
La Grande,Ore.,26131,54
Farmington,Mo.,66824,54
Pueblo,Colo.,164368,54
Toccoa,Ga.,25775,53
Hannibal,Mo.,39091,53
Laramie,Wyo.,37950,53
Moultrie,Ga.,45794,53
Alexandria,Minn.,37309,53
Russellville,Ark.,86165,53
Clarksberg,W.Va.,94906,53
Anniston-Oxford-Jacksonville,Ala.,115648,53
Connersville,Ind.,23671,53
Bluefield,W.Va.-Va.,103989,53
Brownwood,Texas,38597,53
Vernal,Utah,39259,53
Cheyenne,Wyo.,98078,52
Statesboro,Ga.,73724,52
